Actual Values (kWh/hh),Predicted Values
0.331,0.3666745570898056
0.331,0.3654543345272541
0.181,0.21396245634555816
0.156,0.19017063504457474
0.211,0.24575895896553993
0.152,0.18559155356884002
0.156,0.18962179920077324
0.19,0.2230573469400406
0.167,0.19865649250149728
0.135,0.16634973719716073
0.097,0.12821114894747734
0.186,0.2180398099720478
0.142,0.17256998178362845
0.115,0.14520989522337913
0.178,0.2085797941982746
0.159,0.18817083725333214
0.124,0.15223782339692116
0.095,0.12330887399613857
0.111,0.14029061278700827
0.141,0.17081955930590628
0.087,0.11638376367092132
0.113,0.1437799894362688
0.117,0.1483473753631115
0.114,0.14678177604079246
0.441,0.47612388467788697
0.2,0.22427417412400247
0.188,0.21174502457678318
0.181,0.20586573345959186
0.164,0.19058925950527192
0.141,0.16992124280333518
0.114,0.1466489359140396
0.152,0.18941119801998138
0.157,0.1961019769012928
0.095,0.1372588288784027
0.355,0.40376300320029257
0.24,0.2768491858243942
0.339,0.37610496053099635
0.175,0.20524334087967872
0.235,0.2715317426621914
0.228,0.26445722568035124
0.196,0.23457235237956048
0.314,0.3597712970674038
0.314,0.35519398072361946
0.322,0.36600576278567315
0.511,0.556244574546814
0.36,0.36968173425644635
0.244,0.24971584329009056
0.202,0.21557656717300416
